1,1,0,
2,3,10,
3,2,20,
4,1,30,1
5,2,10,2
6,1,0,
7,3,0,
8,2,10,
9,1,30,4
10,2,15,5
11,1,0,
12,3,10,
13,2,5,
14,1,20,7
15,3,10,8
16,1,0,
17,2,20,
18,3,10,
19,1,30,10
20,2,20,11
21,1,0,
22,1,0,
23,2,0,
24,3,0,
25,1,10,
26,2,30,15
27,1,40,16
28,2,0,
29,3,0,
30,4,0,
31,5,30,
32,1,20,
33,2,20,18
34,3,30,19
35,4,20,20
36,5,30,21
37,3,25,22
38,5,35,23
39,4,0,
40,1,0,
41,5,0,
42,2,20,
43,3,30,
44,4,20,25
45,1,30,26
46,5,30,27
47,3,20,28
48,1,50,29
49,5,30,30
50,2,0,
51,1,0,
52,3,0,
53,4,15,
54,5,20,
55,2,20,32
56,1,30,33
57,3,20,34
58,5,10,35
59,1,30,36
60,3,0,37
61,3,0,
62,4,0,
63,2,0,
64,5,10,
65,1,20,
66,3,10,39
67,4,20,40
68,2,20,41
69,1,30,42
70,4,30,43
71,1,40,44
72,5,0,
73,1,0,
74,2,0,
75,3,0,
76,4,0,
77,,0,46
78,,0,47
79,,0,48
80,,0,49
81,,0,50
82,,0,51
